求人一括入稿用のコード一覧

求人一括作成機能利用時のコード一覧です。
求人一括作成機能については、複数の求人を一括入稿したいを参照ください。

目次

1. コード一覧の見かた
2. コード値一覧（職種以外）
3. コード値一覧（職種）
4. 求人の特徴ID一覧
1. コード一覧の見かた
❶項目	❷入力形式
コード値	コード名称
01	総労働時間で記載
02	実働・みなし労働時間で記載
試用・研修期間の労働時間の入力方法CD（probationary_working_hours_input_type）
コード値	コード名称
01	範囲を指定する
02	固定指定する
試用・研修期間の総労働時間_単位CD（probationary_total_working_hours_unit）
コード値	コード名称
01	週
02	ヶ月
03	年
試用・研修期間の平均勤務日数範囲CD（probationary_average_working_days_display_method）
コード値	コード名称
01	範囲を指定する
02	固定指定する
試用・研修期間の勤務形態CD（probationary_working_style）
コード値	コード名称
01	固定時間制
02	シフト制
03	変形時間労働制
04	その他
試用・研修期間の勤務形態の種類CD（probationary_working_style_others）※アルバイト・パート以外
コード値	コード名称
01	フレックスタイム制
02	高度プロフェッショナル制度
03	専門業務型裁量労働制
04	企画業務型裁量労働制
05	事業場外みなし労働時間制
06	その他
試用・研修期間の勤務形態の種類CD（probationary_working_style_others）※アルバイト・パート応募時入力情報CD（entry_form_type）
コード値	コード名称
01	フレックスタイム制
02	事業場外みなし労働時間制
03	その他
応募時入力情報CD（entry_form_type）
コード値	コード名称
01	氏名、生年月日、連絡先を取得
02	氏名、生年月日、連絡先、学歴、資格、経歴も取得


 

3. コード値一覧（職種）
コード値	大区分	中区分	小区分
af63e	営業	建築/土木/プラント営業	建築法人営業
e29b3	営業	建築/土木/プラント営業	建築個人営業
9cd17	営業	建築/土木/プラント営業	土木法人営業
44468	営業	建築/土木/プラント営業	プラント法人営業
fa76e	営業	不動産営業	不動産法人営業
f7341	営業	不動産営業	不動産個人営業
4a469	営業	IT/通信製品営業	IT/通信製品法人営業
c0918	営業	Webサービス/ゲーム営業	Webサービス法人営業
f3cb6	営業	Webサービス/ゲーム営業	ゲーム法人営業
8ba5b	営業	自動車/輸送機器営業	自動車/輸送機器法人営業
5f637	営業	自動車/輸送機器営業	自動車/輸送機器個人営業
86052	営業	機械/電気/電子製品営業	機械/電気/電子製品法人営業
d70e4	営業	人材/アウトソーシング営業	人材/アウトソーシング法人営業
95ed4	営業	金融/保険営業	銀行法人営業
18ba7	営業	金融/保険営業	証券法人営業
c497e	営業	金融/保険営業	保険法人営業
72d29	営業	金融/保険営業	銀行個人営業
40ca4	営業	金融/保険営業	証券個人営業
9f873	営業	金融/保険営業	保険個人営業
e40e1	営業	金融/保険営業	その他
581bc	営業	広告/メディア/イベント営業	広告/メディア法人営業
