求人一括入稿用のコード一覧

求人一括作成機能利用時のコード一覧です。
求人一括作成機能については、複数の求人を一括入稿したいを参照ください。

目次

1. コード一覧の見かた
2. コード値一覧（職種以外）
3. コード値一覧（職種）
4. 求人の特徴ID一覧
1. コード一覧の見かた
❶項目	❷入力形式
acfb6	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	脚本家
8916d	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	シナリオライター
08a1d	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	映像制作
94708	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	特殊効果/特撮
4eea4	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	音響
65234	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	サウンドクリエーター
2e164	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	編集
83188	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	レタッチャー
a0f50	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	カメラ
4133a	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	照明
216b1	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	アニメーター
07364	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	スタイリスト
b8709	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	ヘアメイク
5f77e	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	メイクアップアーティスト
d6197	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	放送システム運用オペレーター
214ea	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	映写技師
c1a8e	出版/メディア/芸能/エンタメ専門職	テレビ/映画/アニメ	その他
43421	出版/メディア/芸能/エンタメ専門職	芸能	アナウンサー
41ba9	出版/メディア/芸能/エンタメ専門職	芸能	リポーター
e0906	出版/メディア/芸能/エンタメ専門職	芸能	俳優/役者
74f9f	出版/メディア/芸能/エンタメ専門職	芸能	モデル
59772	出版/メディア/芸能/エンタメ専門職	芸能	声優/ナレーター
899a9	出版/メディア/芸能/エンタメ専門職	芸能	芸能マネージャー
01d0b	出版/メディア/芸能/エンタメ専門職	芸能	その他
d1a18	出版/メディア/芸能/エンタメ専門職	ダンサー	ダンサー
001fc	出版/メディア/芸能/エンタメ専門職	ショーキャスト	ショーキャスト
9fb53	出版/メディア/芸能/エンタメ専門職	キャスティングディレクター	キャスティングディレクター
21571	出版/メディア/芸能/エンタメ専門職	ミュージシャン	ミュージシャン
19c46	出版/メディア/芸能/エンタメ専門職	その他	その他
ad86a	インフラ専門職	インフラ計画	電気
eef62	インフラ専門職	インフラ計画	通信
79efa	インフラ専門職	設計	発送受変電設備
035c5	インフラ専門職	設計	有線系通信インフラ
e20f1	インフラ専門職	設計	無線系通信インフラ
e2793	インフラ専門職	設計	その他
81a64	インフラ専門職	設置/保守	発電設備
158eb	インフラ専門職	設置/保守	配電工事
fa65f	インフラ専門職	設置/保守	送電工事
324de	インフラ専門職	設置/保守	受変電設備工事
db02k	インフラ専門職	設置/保守	通信インフラ
5f048	インフラ専門職	設置/保守	その他
ccd7f	インフラ専門職	その他	その他
fb48e	交通/運輸/物流専門職	ドライバー/乗務員	タクシードライバー/ハイヤードライバー
ffb1f	交通/運輸/物流専門職	ドライバー/乗務員	専属運転手
f4aeb	交通/運輸/物流専門職	ドライバー/乗務員	運転代行
ef58f	交通/運輸/物流専門職	ドライバー/乗務員	バス運転手
4798c	交通/運輸/物流専門職	ドライバー/乗務員	バス添乗員
eff29	交通/運輸/物流専門職	ドライバー/乗務員	配送/宅配/セールスドライバー
928b9	交通/運輸/物流専門職	ドライバー/乗務員	運送ドライバー（中長距離）
0d65d	交通/運輸/物流専門職	ドライバー/乗務員	タンクローリードライバー
51dd8	交通/運輸/物流専門職	ドライバー/乗務員	その他
4e1cd	交通/運輸/物流専門職	道路交通/陸運	運行管理
89f3a	交通/運輸/物流専門職	道路交通/陸運	道路交通管制
0629b	交通/運輸/物流専門職	道路交通/陸運	整備士
67288	交通/運輸/物流専門職	道路交通/陸運	その他
864aa	交通/運輸/物流専門職	鉄道	輸送計画/運用計画
83f70	交通/運輸/物流専門職	鉄道	運行管理/指令
377b0	交通/運輸/物流専門職	鉄道	鉄道乗務員
bce35	交通/運輸/物流専門職	鉄道	駅員
56089	交通/運輸/物流専門職	鉄道	乗務員指導/育成
68e07	交通/運輸/物流専門職	鉄道	車両/設備メンテナンス/工事計画管理
19dc9	交通/運輸/物流専門職	鉄道	鉄道技術管理
66ffd	交通/運輸/物流専門職	鉄道	車両/設備検査
779b8	交通/運輸/物流専門職	鉄道	車両/設備設計
12829	交通/運輸/物流専門職	鉄道	車両/設備施工管理
2082f	交通/運輸/物流専門職	鉄道	車両/設備メンテナンス/整備
aa45a	交通/運輸/物流専門職	鉄道	車両/設備整備指令
f98aa	交通/運輸/物流専門職	鉄道	その他
f64b8	交通/運輸/物流専門職	空運/空港関連	運航乗務員/パイロット
f22bc	交通/運輸/物流専門職	空運/空港関連	客室乗務員/FA
b5690	交通/運輸/物流専門職	空運/空港関連	旅客係員
7dd5f	交通/運輸/物流専門職	空運/空港関連	ランプ係員
33f57	交通/運輸/物流専門職	空運/空港関連	給油係員
54f59	交通/運輸/物流専門職	空運/空港関連	運航管理者/ディスパッチャー
6f3fc	交通/運輸/物流専門職	空運/空港関連	乗務管理
ef8ec	交通/運輸/物流専門職	空運/空港関連	運航基準
31f5e	交通/運輸/物流専門職	空運/空港関連	運航技術
d6d23	交通/運輸/物流専門職	空運/空港関連	航空機整備士
4178f	交通/運輸/物流専門職	空運/空港関連	間接部門
dcd97	交通/運輸/物流専門職	空運/空港関連	安全管理
0de9a	交通/運輸/物流専門職	空運/空港関連	運送
23b64	交通/運輸/物流専門職	空運/空港関連	その他
5cf64	交通/運輸/物流専門職	海運/港湾関連	運航計画/運航管理
998cf	交通/運輸/物流専門職	海運/港湾関連	船舶調達
de42f	交通/運輸/物流専門職	海運/港湾関連	安全運航/環境推進
26ada	交通/運輸/物流専門職	海運/港湾関連	技術開発
2189b	交通/運輸/物流専門職	海運/港湾関連	新造船計画/建造
c9bbe	交通/運輸/物流専門職	海運/港湾関連	建造契約交渉
691d0	交通/運輸/物流専門職	海運/港湾関連	保守/修繕
3758c	交通/運輸/物流専門職	海運/港湾関連	航海士
968ac	交通/運輸/物流専門職	海運/港湾関連	機関士
ffe6b	交通/運輸/物流専門職	海運/港湾関連	通信士
8e04c	交通/運輸/物流専門職	海運/港湾関連	船舶乗務員
9be64	交通/運輸/物流専門職	海運/港湾関連	航路管理
86d14	交通/運輸/物流専門職	海運/港湾関連	操船技師/ドックマスター
4eab4	交通/運輸/物流専門職	海運/港湾関連	荷役監督
d319e	交通/運輸/物流専門職	海運/港湾関連	コンテナ管理
9e975	交通/運輸/物流専門職	海運/港湾関連	その他
8818f	交通/運輸/物流専門職	物流手配/管理	運営管理
bc3f3	交通/運輸/物流専門職	物流手配/管理	フォワーダー
0ef6f	交通/運輸/物流専門職	物流手配/管理	その他
705a4	交通/運輸/物流専門職	倉庫/配送センター	倉庫管理
8eded	交通/運輸/物流専門職	倉庫/配送センター	倉庫作業スタッフ
16865	交通/運輸/物流専門職	倉庫/配送センター	フォークリフトドライバー
3536c	交通/運輸/物流専門職	倉庫/配送センター	その他
8f5d5	交通/運輸/物流専門職	その他	その他
3a0e5	人材サービス専門職	キャリアアドバイザー	キャリアアドバイザー
30298	人材サービス専門職	リクルーティングアドバイザー	リクルーティングアドバイザー
bb93b	人材サービス専門職	ヘッドハンター	ヘッドハンター
5bcf3	人材サービス専門職	派遣コーディネーター	技術系
1fc1f	人材サービス専門職	派遣コーディネーター	事務系/非技術系
bf583	人材サービス専門職	派遣コーディネーター	その他
c6d5e	人材サービス専門職	BPO管理/運営	BPO管理/運営
6e569	人材サービス専門職	その他	その他
9d37c	教育/保育専門職	学校長/理事長	小学校
a81d7	教育/保育専門職	学校長/理事長	中学校
8f92d	教育/保育専門職	学校長/理事長	高校
38aab	教育/保育専門職	学校長/理事長	大学
0625c	教育/保育専門職	学校長/理事長	専門学校
0ef22	教育/保育専門職	学校長/理事長	養護学校
5903d	教育/保育専門職	学校長/理事長	その他
35223	教育/保育専門職	教員	小学校
819b2	教育/保育専門職	教員	中学校
bcb26	教育/保育専門職	教員	高校
2cb5f	教育/保育専門職	教員	大学
4e338	教育/保育専門職	教員	専門学校
33654	教育/保育専門職	教員	養護学校
54aaa	教育/保育専門職	教員	その他
182dd	教育/保育専門職	進路指導/進路カウンセラー	中学
c0168	教育/保育専門職	進路指導/進路カウンセラー	高校
cd2ae	教育/保育専門職	進路指導/進路カウンセラー	大学
8f248	教育/保育専門職	進路指導/進路カウンセラー	専門学校
b22db	教育/保育専門職	進路指導/進路カウンセラー	養護学校
a6443	教育/保育専門職	進路指導/進路カウンセラー	その他
21a08	教育/保育専門職	心理カウンセラー	心理カウンセラー
3266d	教育/保育専門職	スクール長/マネジャー	スクール長/マネジャー
3cb25	教育/保育専門職	講師/トレーナー	学習塾講師
1f1a6	教育/保育専門職	講師/トレーナー	パソコン/IT/OA
4e17b	教育/保育専門職	講師/トレーナー	プログラミング/コーディング
d842f	教育/保育専門職	講師/トレーナー	英語
30720	教育/保育専門職	講師/トレーナー	日本語
1ad30	教育/保育専門職	講師/トレーナー	会計/簿記
fdef9	教育/保育専門職	講師/トレーナー	人事
b9f89	教育/保育専門職	講師/トレーナー	自動車教習
1aa37	教育/保育専門職	講師/トレーナー	音楽/楽器
de7fe	教育/保育専門職	講師/トレーナー	スポーツ
d9f54	教育/保育専門職	講師/トレーナー	ダンス
5b82e	教育/保育専門職	講師/トレーナー	武術/武道
62444	教育/保育専門職	講師/トレーナー	アート/デザイン
c6aea	教育/保育専門職	講師/トレーナー	その他
c7bc7	教育/保育専門職	家庭教師	家庭教師
b0fa3	教育/保育専門職	教材コンテンツ開発	教材コンテンツ開発
d437b	教育/保育専門職	チューター/学習カウンセリング/進路相談	チューター/学習カウンセリング/進路相談
42110	教育/保育専門職	保育	保育士
6fdd1	教育/保育専門職	保育	幼稚園教諭
c2edb	教育/保育専門職	保育	その他
3d4d9	教育/保育専門職	学校事務/大学事務/教務事務	学校事務/大学事務/教務事務
ea55d	教育/保育専門職	学芸員/図書館司書	学芸員/図書館司書
4e9a0	教育/保育専門職	学校給食調理士	学校給食調理士
66ea3	教育/保育専門職	その他	その他
15602	エグゼクティブ	CEO/社長/代表取締役/代表理事	CEO/社長/代表取締役/代表理事
24925	エグゼクティブ	代表社員	代表社員
79041	エグゼクティブ	全社単位戦略/特定テーマ責任者	執行責任者/COO/Chief Operation Officer
fd00e	エグゼクティブ	全社単位戦略/特定テーマ責任者	ビジネス責任者/CBO/Chief Business Officer
26c23	エグゼクティブ	全社単位戦略/特定テーマ責任者	戦略責任者/CSO/Chief Strategy Officer
b3743	エグゼクティブ	全社単位戦略/特定テーマ責任者	計画責任者/CPO/Chief Project Officer
6f16d	エグゼクティブ	全社単位戦略/特定テーマ責任者	データ責任者/CDO/Chief Data Officer
f8488	エグゼクティブ	全社単位戦略/特定テーマ責任者	デジタル責任者/CDO/Chief Digital Officer
aef14	エグゼクティブ	全社単位戦略/特定テーマ責任者	その他
5b29d	エグゼクティブ	ビジネス機能別責任者	プロダクト責任者/CPO/Chief Product Officer
3290c	エグゼクティブ	ビジネス機能別責任者	技術責任者/CTO/Chief Technology Officer
f4f37	エグゼクティブ	ビジネス機能別責任者	イノベーション責任者/CIO/Chief Innovation Officer
95c6c	エグゼクティブ	ビジネス機能別責任者	マーケティング責任者/CMO/Chief Marketing Officer
d3dcf	エグゼクティブ	ビジネス機能別責任者	ブランディング責任者/CBO/Chief Branding Officer
5727f	エグゼクティブ	ビジネス機能別責任者	クリエイティブ責任者/CCO/Chief Creative Officer
3ac4b	エグゼクティブ	ビジネス機能別責任者	デザイン責任者/CDO/Chief Design Officer
d8322	エグゼクティブ	ビジネス機能別責任者	顧客体験責任者/CCEO/Chief Customer Experience Officer
67c31	エグゼクティブ	ビジネス機能別責任者	サプライチェーン責任者
eb770	エグゼクティブ	ビジネス機能別責任者	物流責任者/CLO/Chief Logistics Officer
a2dab	エグゼクティブ	ビジネス機能別責任者	品質管理責任者/CQO/Chief Quality Officer
45e3d	エグゼクティブ	ビジネス機能別責任者	売上責任者/CRO/Chief Revenue Officer
2a70f	エグゼクティブ	ビジネス機能別責任者	販売/営業部門責任者/CSO/Chief Sales Officer
1a643	エグゼクティブ	ビジネス機能別責任者	投資責任者/CIO/Chief Investment Officer
e3dcb	エグゼクティブ	ビジネス機能別責任者	医務責任者/CMO/Chief Medical Officer
f8994	エグゼクティブ	ビジネス機能別責任者	その他
95a74	エグゼクティブ	コーポレート機能別責任者	人事責任者/CHRO
dfa44	エグゼクティブ	コーポレート機能別責任者	総務責任者/CAO/Chief Administrative Officer
91732	エグゼクティブ	コーポレート機能別責任者	情報責任者/CIO/Chief Information Officer
d1f08	エグゼクティブ	コーポレート機能別責任者	個人情報保護責任者/CPO/Chief Privacy Officer
64a73	エグゼクティブ	コーポレート機能別責任者	情報セキュリティ責任者/CSO/Chief Security Officer
db9f7	エグゼクティブ	コーポレート機能別責任者	コミュニケーション責任者/CCO/Chief Communication Officer
a126e	エグゼクティブ	コーポレート機能別責任者	財務責任者/CFO/Chief Financial Officer
0e98e	エグゼクティブ	コーポレート機能別責任者	法務責任者/CLO,CJO/Chief Legal Officer, Chief Judicial Officer
bec44	エグゼクティブ	コーポレート機能別責任者	リスク管理責任者/CRO/Chief Risk Officer
912cb	エグゼクティブ	コーポレート機能別責任者	その他
d061a	エグゼクティブ	事業別責任者	事業別責任者
26a84	エグゼクティブ	地域別責任者/支社長	地域別責任者/支社長
582ba	エグゼクティブ	その他	その他
be3a0	学術研究	総合人文社会	総合人文社会
f8fc6	学術研究	人文学	人文学
10efe	学術研究	社会科学	社会科学
7f8a0	学術研究	総合理工	総合理工
42dee	学術研究	数物系科学	数物系科学
8bed8	学術研究	化学	化学
15622	学術研究	工学	工学
4c4df	学術研究	総合生物	総合生物
a6f8c	学術研究	生物学	生物学
efb7d	学術研究	農学	農学
908ef	学術研究	医歯薬学	医歯薬学
4d37e	学術研究	情報学	情報学
7f63c	学術研究	環境学	環境学
43a56	学術研究	複合領域	複合領域
b4fcc	学術研究	その他	その他
9492d	公務員/団体職員/農林水産	省庁職員	技術総合職
c2731	公務員/団体職員/農林水産	省庁職員	非技術総合職
2ace6	公務員/団体職員/農林水産	省庁職員	一般職
82eb9	公務員/団体職員/農林水産	省庁職員	検察官
f60c2	公務員/団体職員/農林水産	省庁職員	矯正心理専門職
0cf78	公務員/団体職員/農林水産	省庁職員	法務教官
18a30	公務員/団体職員/農林水産	省庁職員	保護観察官
1e0fc	公務員/団体職員/農林水産	省庁職員	国税専門官
ab7c8	公務員/団体職員/農林水産	省庁職員	財務専門官
d33af	公務員/団体職員/農林水産	省庁職員	労働基準監督官
5a722	公務員/団体職員/農林水産	省庁職員	食品衛生監視員
c40e3	公務員/団体職員/農林水産	省庁職員	財務職員
f798b	公務員/団体職員/農林水産	省庁職員	海上保安官
37154	公務員/団体職員/農林水産	省庁職員	航空管制官/航空管制運航情報官
4e7d5	公務員/団体職員/農林水産	省庁職員	自衛官
0f628	公務員/団体職員/農林水産	省庁職員	皇宮護衛官
ea70b	公務員/団体職員/農林水産	省庁職員	刑務官
7569c	公務員/団体職員/農林水産	省庁職員	入国警備官
7621c	公務員/団体職員/農林水産	省庁職員	その他
cecaf	公務員/団体職員/農林水産	地方自治体職員	地方自治体職員
2d6a8	公務員/団体職員/農林水産	国会	国会議員
754c2	公務員/団体職員/農林水産	国会	議員秘書
545d5	公務員/団体職員/農林水産	国会	国会職員
b7136	公務員/団体職員/農林水産	国会	その他
7e37e	公務員/団体職員/農林水産	地方議会議員	地方議会議員
db83c	公務員/団体職員/農林水産	裁判所	裁判官
a9f57	公務員/団体職員/農林水産	裁判所	裁判所事務官
3254b	公務員/団体職員/農林水産	裁判所	裁判所書記官
efe7c	公務員/団体職員/農林水産	裁判所	家庭裁判所調査官
bf481	公務員/団体職員/農林水産	裁判所	検察事務官
29a25	公務員/団体職員/農林水産	裁判所	その他
05137	公務員/団体職員/農林水産	警察	地域警察
253f2	公務員/団体職員/農林水産	警察	交通警察
73e3c	公務員/団体職員/農林水産	警察	その他
8b127	公務員/団体職員/農林水産	消防士	消防士
f7642	公務員/団体職員/農林水産	公共施設職員	公共施設職員
6e53d	公務員/団体職員/農林水産	団体職員	団体職員
ad628	公務員/団体職員/農林水産	NPO/NGO職員	NPO/NGO職員
cf004	公務員/団体職員/農林水産	農林水産鉱業職種	農家/農作業スタッフ
80266	公務員/団体職員/農林水産	農林水産鉱業職種	森林作業員
37cf6	公務員/団体職員/農林水産	農林水産鉱業職種	飼育管理スタッフ
9aed5	公務員/団体職員/農林水産	農林水産鉱業職種	排水等処理施設管理
7e4bd	公務員/団体職員/農林水産	農林水産鉱業職種	漁船漁業
9d2d1	公務員/団体職員/農林水産	農林水産鉱業職種	養殖漁業
b2371	公務員/団体職員/農林水産	農林水産鉱業職種	資源探査
5cefd	公務員/団体職員/農林水産	農林水産鉱業職種	採鉱管理
04b04	公務員/団体職員/農林水産	農林水産鉱業職種	坑内作業員
92575	公務員/団体職員/農林水産	農林水産鉱業職種	選鉱
80707	公務員/団体職員/農林水産	農林水産鉱業職種	その他
2181e	公務員/団体職員/農林水産	その他	その他
4. 求人の特徴ID一覧

設定したいキーワードのIDをコピーして、対象の列に入力してください。

仕事内容の特徴

お客様との対話


 

ID	キーワード名
BG4QK	お客様との対話が多い仕事
Q89VK	お客様との対話が少ない仕事

仕事のスタイル


 

ID	キーワード名
923SQ	立ち仕事が多い
BT24V	デスクワークが多い

仕事の環境


 

ID	キーワード名
TANZM	室内の仕事が多い
SN6VF	室外の仕事が多い

勤務地


 

ID	キーワード名
Z6QSE	いろんな勤務地で働く
Z653X	固定の勤務地で働く

業務のスタイル


 

ID	キーワード名
KT64E	マニュアルに従う
CSPBK	創意工夫が求められる

力仕事


 

ID	キーワード名
MBRFC	力仕事が多い
UGSWT	力仕事が少ない

作業内容


 

ID	キーワード名
NFGY7	1人作業が多い
9TNXA	チーム作業が多い
勤務地の特徴

複数キーワードを設定できます。複数設定する場合、IDを「,（カンマ）」で区切って入力してください

ID	キーワード名	備考
ZPPKQ	送迎あり	 
9KWAA	車通勤OK	 
89HG5	バイク通勤OK	 
H7DBB	駅ナカ	 
RCH8H	駅近5分以内	 
BNE3V	転勤なし	雇用形態が「業務委託」の場合、設定できません。
N83EH	在宅OK	 
職場環境

複数キーワードを設定できます。複数設定する場合、IDを「,（カンマ）」で区切って入力してください

ID	キーワード名	正社員	契約社員	派遣社員	アルバイト
パート	業務委託
5DCQH	主婦・主夫歓迎	
 
	
 
	
 
	
 
	
 

9JRJG	学歴不問	
 
	
 
	
 
	
 
	
 

7PD2A	フリーター歓迎	
 
	
 
	
 
	
 
	
 

BD3P7	学生歓迎	不可	不可	
 
	
 
	不可
VFQ6J	第二新卒歓迎	
 
	
 
	
 
	不可	不可
G3CST	経験者歓迎	
 
	
 
	
 
	
 
	
 

D9PP2	未経験者歓迎	
 
	
 
	
 
	
 
	不可
368C7	業界未経験歓迎	
 
	
 
	
 
	
 
	不可
D7S5D	経験不問	
 
	
 
	
 
	
 
	不可
SWWAC	経験不要	
 
	
 
	
 
	
 
	不可
3FJYA	要経験	
 
	
 
	
 
	
 
	
 

W9MGH	知識不要	
 
	
 
	
 
	
 
	不可
5PGHG	要知識	
 
	
 
	
 
	
 
	
 

NKKX4	ブランクOK	
 
	
 
	
 
	
 
	
 

JCEKM	有資格者歓迎	
 
	
 
	
 
	
 
	
 

F6PAA	管理職・マネジメント経験歓迎	
 
	
 
	
 
	不可	
 

FAD3T	管理職・マネジャー採用	
 
	
 
	
 
	不可	不可
P4MNE	女性が活躍中	
 
	
 
	
 
	
 
	
 

FQMBA	女性管理職登用あり	
 
	
 
	
 
	不可	不可
YTAGU	留学生活躍中	不可	不可	
 
	
 
	不可
992GD	中途入社50％以上	
 
	
 
	
 
	不可	不可
NYYS2	オープニングスタッフ	
 
	
 
	
 
	
 
	
 

49FJ7	扶養内勤務OK	不可	不可	
 
	
 
	不可
Y5887	リゾート	不可	不可	
 
	
 
	
 

WEWW4	ノルマなし	
 
	
 
	
 
	
 
	
 

3VNPH	ランチタイム	
 
	
 
	
 
	
 
	
 

FQ634	10代が多い	不可	不可	
 
	
 
	
 

ACFMM	20代が多い	
 
	
 
	
 
	
 
	
 

VFJRG	30代が多い	
 
	
 
	
 
	
 
	
 

4VADT	40代が多い	
 
	
 
	
 
	
 
	
 

DKT7N	50代が多い	
 
	
 
	
 
	
 
	
 

NWBZ9	60代が多い	
 
	
 
	
 
	
 
	
 

NZ2MT	70代以上が多い	
 
	
 
	
 
	
 
	
 

UG7AK	服装自由	
 
	
 
	
 
	
 
	
 

ZUPFV	髪型・髪色自由	
 
	
 
	
 
	
 
	
 

2MRTC	制服あり	
 
	
 
	
 
	
 
	
 

YSEDZ	ひげOK	
 
	
 
	
 
	
 
	
 

G8VR2	ネイルOK	
 
	
 
	
 
	
 
	
 

TD4UW	ピアスOK	
 
	
 
	
 
	
 
	
 

D866K	英語	
 
	
 
	
 
	
 
	
 

TG4D3	中国語	
 
	
 
	
 
	
 
	
 
給与の特徴

複数キーワードを設定できます。複数設定する場合、IDを「,（カンマ）」で区切って入力してください

ID	キーワード名	正社員	契約社員	派遣社員	アルバイト
パート	業務委託
HSRBS	日払いOK	
 
	
 
	
 
	
 
	
 

H3ZFF	週払いOK	
 
	
 
	
 
	
 
	
 

UABTR	高収入	
 
	
 
	
 
	
 
	
 

NA9HP	賞与あり	
 
	
 
	
 
	
 
	不可
6XT6J	ストックオプションあり	
 
	
 
	
 
	不可	不可
3A8KY	歩合給あり	
 
	
 
	
 
	不可	
 

PWAV3	固定給25万円以上	
 
	
 
	
 
	不可	不可
XUEJQ	固定給35万円以上	
 
	
 
	
 
	不可	不可
8A66P	給料前払いOK	不可	不可	
 
	
 
	不可
勤務形態・勤務時間の特徴

複数キーワードを設定できます。複数設定する場合、IDを「,（カンマ）」で区切って入力してください

ID	キーワード名	正社員	契約社員	派遣社員	アルバイト
パート	業務委託
GN2KW	残業なし	
 
	
 
	
 
	
 
	不可
Q5J84	長期歓迎	
 
	
 
	
 
	
 
	
 

8EWXV	早朝	
 
	
 
	
 
	
 
	不可
FDF8V	午前	
 
	
 
	
 
	
 
	不可
K8AKP	夕方	
 
	
 
	
 
	
 
	不可
SXRB4	深夜	
 
	
 
	
 
	
 
	不可
H3N5U	夜間	
 
	
 
	
 
	
 
	不可
AFMGC	月平均残業時間20時間以内	
 
	
 
	
 
	不可	不可
VMN92	原則定時退社	
 
	
 
	
 
	不可	不可
F8UBA	時短勤務あり	
 
	
 
	
 
	不可	不可
QP3PV	フルタイム歓迎	不可	不可	
 
	
 
	不可
8EG5C	短期	不可	不可	
 
	
 
	
 

T22G3	短期（1ヵ月以内）	不可	不可	
 
	
 
	
 

3BA2Q	短期（3ヵ月以内）	不可	不可	
 
	
 
	
 

QFE79	単発	不可	不可	
 
	
 
	
 

WGEC9	春夏冬休み期間限定	不可	不可	
 
	
 
	不可
B9ACM	平日のみOK	不可	不可	
 
	
 
	不可
52HB2	土日祝のみOK	不可	不可	
 
	
 
	不可
QMFBU	都合による週0日OK	不可	不可	
 
	
 
	不可
4HUYA	週1日からOK	不可	不可	
 
	
 
	不可
RNH2U	週2・3日からOK	不可	不可	
 
	
 
	不可
THMDR	週4日以上OK	不可	不可	
 
	
 
	不可
5P9GS	週1シフト提出	不可	不可	
 
	
 
	不可
4ZJDK	隔週シフト提出	不可	不可	
 
	
 
	不可
JG87K	月1シフト提出	不可	不可	
 
	
 
	不可
RS4NC	前日までのシフト調整可	不可	不可	
 
	
 
	不可
5Y8GP	家庭都合のシフト調整可	不可	不可	
 
	
 
	不可
8SD3J	都合による当日早退可	不可	不可	
 
	
 
	不可
NCXZ4	学業都合のシフト調整可	不可	不可	
 
	
 
	不可
8GGC3	シフト自由	不可	不可	
 
	
 
	
 

76M3X	1日1時間以内OK	不可	不可	
 
	
 
	不可
H7Q4Y	1日2時間以内OK	不可	不可	
 
	
 
	不可
QRM2V	1日3時間以内OK	不可	不可	
 
	
 
	不可
4U3VY	1日4時間以内OK	不可	不可	
 
	
 
	不可
休日・休暇

複数キーワードを設定できます。複数設定する場合、IDを「,（カンマ）」で区切って入力してください

ID	キーワード名	正社員	契約社員	派遣社員	アルバイト
パート	業務委託
TABHV	長期休暇あり	
 
	
 
	
 
	
 
	不可
6E5P4	年間休日120日以上	
 
	
 
	
 
	
 
	不可
NUHCT	完全週休2日制	
 
	
 
	
 
	
 
	不可
87RUM	介護休暇あり	
 
	
 
	
 
	不可	不可
NPHPU	育休あり	
 
	
 
	
 
	不可	不可
TSEFZ	土日祝休み	
 
	
 
	
 
	
 
	不可
福利厚生

複数キーワードを設定できます。複数設定する場合、IDを「,（カンマ）」で区切って入力してください

ID	キーワード名	正社員	契約社員	派遣社員	アルバイト
パート	業務委託
ZA2SS	入社祝い金あり	
 
	
 
	
 
	
 
	不可
Z5ZDK	託児所あり	
 
	
 
	
 
	
 
	不可
PM67F	交通費支給	
 
	
 
	
 
	
 
	
 

SXFZX	社割あり	
 
	
 
	
 
	
 
	不可
K5UDY	研修あり	
 
	
 
	
 
	
 
	
 

4PX2W	副業・WワークOK	
 
	
 
	
 
	
 
	不可
MG35T	家賃無料	
 
	
 
	
 
	不可	不可
DNKPF	住宅手当あり	
 
	
 
	
 
	不可	不可
YCH9D	寮・社宅あり	
 
	
 
	
 
	
 
	不可
YJ8XR	食事補助あり	
 
	
 
	
 
	
 
	
 

PXKDN	まかないあり	
 
	
 
	
 
	
 
	
 

VD9Z9	昼食補助あり	
 
	
 
	
 
	不可	
 

JGSQQ	食費補助あり	
 
	
 
	
 
	不可	
 

77B4M	資格取得支援あり	
 
	
 
	
 
	
 
	不可
KBRYN	退職金あり	
 
	不可	不可	不可	不可
P42XV	インセンティブあり	
 
	
 
	
 
	
 
	
 

RNEAH	資格取得手当あり	
 
	
 
	
 
	不可	不可
F9VJA	通勤交通費全額支給	
 
	
 
	
 
	
 
	
 

4E8M2	社員登用あり	不可	
 
	
 
	
 
	
 
契約更新期間

雇用形態が「派遣社員」の場合のみ設定できます。それ以外の雇用形態はES列を空欄にしてください。

ID	キーワード名
5T857	無期雇用派遣
選考の流れ

複数キーワードを設定できます。複数設定する場合、IDを「,（カンマ）」で区切って入力してください

ID	キーワード名	備考
65U83	60代も応募可	 
PFK9P	70代も応募可	 
VRCQ4	履歴書不要	 
XYD5T	友達と応募OK	 
ANKQD	職場見学可	 
R4ZRK	面接1回	 
9WNK5	即日勤務OK	雇用形態が「正社員」「契約社員」の場合、設定できません。

この記事の改善のために、ご意見をお聞かせください。
この記事は役にたちましたか？

 
関連記事
 複数の求人を一括入稿したい
 社会保険の選択について
 勤務地の設定方法
 作成済みの求人を編集したい
 Airワーク 採用管理とは？
最近表示した記事
複数の求人を一括入稿したい
